candidate_id,name,education,experience_years,skills,certifications,projects_count,github_score,linkedin_activity,domain,resume_text
C019,Candidate_19,M.Tech,6,"Deep Learning, PyTorch, TensorFlow",Google,6,81,84,Analytics,"Deep Learning, PyTorch, TensorFlow. 10 projects completed. Certified in AWS. Domain: Cloud."
C020,Candidate_20,B.Tech,6,"Power BI, SQL, Deep Learning, Machine Learning",Azure,10,85,88,Data Science,"Power BI, SQL, Deep Learning, Machine Learning. 4 projects completed. Certified in Azure. Domain: Cloud."
C021,Candidate_21,M.Tech,3,"Tableau, TensorFlow, PyTorch",None,4,59,73,Cloud,"Tableau, TensorFlow, PyTorch. 9 projects completed. Certified in Azure. Domain: Cloud."
C022,Candidate_22,B.Sc Data Science,5,"TensorFlow, SQL, Power BI, Azure",Azure,9,83,100,Analytics,"TensorFlow, SQL, Power BI, Azure. 10 projects completed. Certified in AWS. Domain: AI."
C023,Candidate_23,MCA,1,"Power BI, Tableau, Deep Learning",Google,2,98,92,Analytics,"Power BI, Tableau, Deep Learning. 9 projects completed. Certified in Google. Domain: AI."
C024,Candidate_24,B.Sc Data Science,4,"TensorFlow, Power BI, AWS",Google,6,72,65,Data Science,"TensorFlow, Power BI, AWS. 6 projects completed. Certified in Azure. Domain: Data Science."
C025,Candidate_25,MCA,3,"SQL, Tableau, Python, PyTorch",None,3,99,52,AI,"SQL, Tableau, Python, PyTorch. 10 projects completed. Certified in Azure. Domain: AI."
C026,Candidate_26,M.Tech,0,"NLP, SQL, Azure, Power BI",None,2,83,88,Data Science,"NLP, SQL, Azure, Power BI. 1 projects completed. Certified in AWS. Domain: Analytics."
C027,Candidate_27,MCA,5,"Deep Learning, NLP, Machine Learning, PyTorch, Tableau",AWS,7,53,61,AI,"Deep Learning, NLP, Machine Learning, PyTorch, Tableau. 5 projects completed. Certified in Azure. Domain: AI."
C028,Candidate_28,B.Sc Data Science,5,"Power BI, Python, Machine Learning, Azure, Tableau",AWS,8,88,66,Data Science,"Power BI, Python, Machine Learning, Azure, Tableau. 8 projects completed. Certified in AWS. Domain: AI."
C029,Candidate_29,B.Tech,3,"NLP, Deep Learning, Azure, Power BI",Azure,5,88,65,Data Science,"NLP, Deep Learning, Azure, Power BI. 9 projects completed. Certified in Azure. Domain: AI."
C030,Candidate_30,MCA,1,"Deep Learning, NLP, Machine Learning, Tableau",AWS,2,85,63,AI,"Deep Learning, NLP, Machine Learning, Tableau. 9 projects completed. Certified in Azure. Domain: Cloud."
C031,Candidate_31,B.Tech,5,"NLP, TensorFlow, SQL, Power BI",Google,3,71,82,Analytics,"NLP, TensorFlow, SQL, Power BI. 9 projects completed. Certified in Google. Domain: AI."
C032,Candidate_32,B.Tech,7,"Deep Learning, NLP, Azure",AWS,5,54,79,Analytics,"Deep Learning, NLP, Azure. 4 projects completed. Certified in AWS. Domain: Analytics."
C033,Candidate_33,B.Tech,9,"Power BI, TensorFlow, PyTorch, Python, SQL",Azure,10,68,100,Data Science,"Power BI, TensorFlow, PyTorch, Python, SQL. 10 projects completed. Certified in Google. Domain: AI."
C034,Candidate_34,M.Tech,1,"Machine Learning, Tableau, Python",Google,10,96,86,Data Science,"Machine Learning, Tableau, Python. 4 projects completed. Certified in AWS. Domain: Data Science."
C035,Candidate_35,B.Sc Data Science,9,"Tableau, Deep Learning, Machine Learning, AWS, Azure",Google,9,60,66,Cloud,"Tableau, Deep Learning, Machine Learning, AWS, Azure. 5 projects completed. Certified in AWS. Domain: Analytics."
C036,Candidate_36,MCA,10,"Machine Learning, Power BI, Azure",Azure,10,100,98,Cloud,"Machine Learning, Power BI, Azure. 3 projects completed. Certified in AWS. Domain: Analytics."
C037,Candidate_37,MCA,4,"Deep Learning, TensorFlow, AWS, Tableau",AWS,1,93,94,Data Science,"Deep Learning, TensorFlow, AWS, Tableau. 5 projects completed. Certified in AWS. Domain: Analytics."
C038,Candidate_38,M.Tech,1,"TensorFlow, Python, Machine Learning, NLP, AWS",None,2,94,78,Cloud,"TensorFlow, Python, Machine Learning, NLP, AWS. 4 projects completed. Certified in Google. Domain: AI."
C039,Candidate_39,MCA,7,"Power BI, PyTorch, TensorFlow",Google,9,50,54,Cloud,"Power BI, PyTorch, TensorFlow. 7 projects completed. Certified in Azure. Domain: Analytics."
C040,Candidate_40,MCA,8,"TensorFlow, Machine Learning, Power BI, NLP",AWS,7,99,71,Cloud,"TensorFlow, Machine Learning, Power BI, NLP. 6 projects completed. Certified in Google. Domain: AI."
C041,Candidate_41,M.Tech,7,"NLP, TensorFlow, Power BI",Azure,3,77,75,Data Science,"NLP, TensorFlow, Power BI. 4 projects completed. Certified in Google. Domain: Analytics."
C042,Candidate_42,B.Sc Data Science,9,"Machine Learning, Python, NLP, PyTorch",None,9,67,66,Analytics,"Machine Learning, Python, NLP, PyTorch. 7 projects completed. Certified in AWS. Domain: Cloud."
C043,Candidate_43,MCA,9,"Power BI, AWS, Deep Learning",None,4,77,89,Analytics,"Power BI, AWS, Deep Learning. 8 projects completed. Certified in AWS. Domain: Analytics."
C044,Candidate_44,MCA,5,"PyTorch, AWS, Azure, SQL",None,4,77,58,Data Science,"PyTorch, AWS, Azure, SQL. 4 projects completed. Certified in AWS. Domain: Cloud."
C045,Candidate_45,B.Sc Data Science,8,"Azure, SQL, TensorFlow, PyTorch",Google,5,58,99,Data Science,"Azure, SQL, TensorFlow, PyTorch. 8 projects completed. Certified in Azure. Domain: AI."
C046,Candidate_46,B.Sc Data Science,8,"NLP, PyTorch, Tableau",AWS,6,52,54,Analytics,"NLP, PyTorch, Tableau. 4 projects completed. Certified in Google. Domain: Analytics."
C047,Candidate_47,B.Tech,8,"Python, Tableau, NLP, AWS, Azure",None,7,80,57,AI,"Python, Tableau, NLP, AWS, Azure. 2 projects completed. Certified in Azure. Domain: Analytics."
C048,Candidate_48,M.Tech,0,"Machine Learning, Tableau, TensorFlow, Azure, NLP",Azure,7,93,95,Data Science,"Machine Learning, Tableau, TensorFlow, Azure, NLP. 6 projects completed. Certified in AWS. Domain: AI."
C049,Candidate_49,B.Tech,2,"Python, TensorFlow, Power BI, Machine Learning",Azure,9,97,90,Analytics,"Python, TensorFlow, Power BI, Machine Learning. 2 projects completed. Certified in Azure. Domain: AI."
C050,Candidate_50,B.Sc Data Science,5,"Tableau, PyTorch, Power BI, Deep Learning, AWS, Azure",None,7,87,61,Data Science,"Tableau, PyTorch, Power BI, Deep Learning, AWS, Azure. 5 projects completed. Certified in Azure. Domain: Data Science."
C051,Candidate_51,MCA,4,"Machine Learning, TensorFlow, AWS, Power BI, NLP, Azure",Google,2,93,90,AI,"Machine Learning, TensorFlow, AWS, Power BI, NLP, Azure. 8 projects completed. Certified in Google. Domain: Data Science."
C052,Candidate_52,M.Tech,3,"Tableau, NLP, PyTorch, Power BI, AWS",Azure,7,54,84,Cloud,"Tableau, NLP, PyTorch, Power BI, AWS. 5 projects completed. Certified in Azure. Domain: AI."
C053,Candidate_53,B.Sc Data Science,8,"PyTorch, TensorFlow, Deep Learning, Python, Azure",None,5,87,73,Data Science,"PyTorch, TensorFlow, Deep Learning, Python, Azure. 1 projects completed. Certified in Azure. Domain: Analytics."
C054,Candidate_54,M.Tech,10,"Deep Learning, SQL, TensorFlow, Machine Learning",AWS,4,54,53,Data Science,"Deep Learning, SQL, TensorFlow, Machine Learning. 5 projects completed. Certified in Azure. Domain: Cloud."
C055,Candidate_55,M.Tech,3,"Python, Deep Learning, Machine Learning, Power BI, PyTorch",AWS,9,92,66,Cloud,"Python, Deep Learning, Machine Learning, Power BI, PyTorch. 5 projects completed. Certified in Google. Domain: Analytics."
C056,Candidate_56,B.Tech,10,"Azure, Power BI, Tableau, Deep Learning, TensorFlow, Machine Learning",Google,1,100,83,Analytics,"Azure, Power BI, Tableau, Deep Learning, TensorFlow, Machine Learning. 5 projects completed. Certified in Azure. Domain: Data Science."
C057,Candidate_57,MCA,9,"Machine Learning, SQL, Deep Learning, AWS",Google,7,73,76,Data Science,"Machine Learning, SQL, Deep Learning, AWS. 9 projects completed. Certified in AWS. Domain: AI."
C058,Candidate_58,M.Tech,5,"Python, Power BI, Azure",None,2,95,98,Cloud,"Python, Power BI, Azure. 10 projects completed. Certified in Azure. Domain: Cloud."
C059,Candidate_59,B.Sc Data Science,7,"Power BI, Deep Learning, Python, Machine Learning, Azure, Tableau",Google,8,75,56,AI,"Power BI, Deep Learning, Python, Machine Learning, Azure, Tableau. 3 projects completed. Certified in Google. Domain: AI."
C060,Candidate_60,M.Tech,2,"Machine Learning, SQL, NLP, AWS, Power BI",None,9,60,60,Data Science,"Machine Learning, SQL, NLP, AWS, Power BI. 2 projects completed. Certified in Azure. Domain: Analytics."
C061,Candidate_61,B.Sc Data Science,7,"NLP, AWS, Python, Azure, SQL, Machine Learning",Google,6,77,94,Analytics,"NLP, AWS, Python, Azure, SQL, Machine Learning. 2 projects completed. Certified in Azure. Domain: Cloud."
C062,Candidate_62,MCA,4,"PyTorch, Machine Learning, NLP, Python",Google,6,100,97,Cloud,"PyTorch, Machine Learning, NLP, Python. 2 projects completed. Certified in Azure. Domain: Data Science."
C063,Candidate_63,MCA,9,"Python, PyTorch, Tableau, Machine Learning",None,2,75,64,Analytics,"Python, PyTorch, Tableau, Machine Learning. 8 projects completed. Certified in Google. Domain: AI."
C064,Candidate_64,B.Sc Data Science,9,"TensorFlow, PyTorch, Python, Power BI, Machine Learning",Azure,9,99,83,Analytics,"TensorFlow, PyTorch, Python, Power BI, Machine Learning. 1 projects completed. Certified in Google. Domain: Cloud."
C065,Candidate_65,B.Sc Data Science,1,"Tableau, PyTorch, Power BI, Machine Learning",None,7,93,86,Data Science,"Tableau, PyTorch, Power BI, Machine Learning. 9 projects completed. Certified in Google. Domain: Data Science."
C066,Candidate_66,MCA,10,"PyTorch, Power BI, Azure, Python, Machine Learning",AWS,10,64,98,Data Science,"PyTorch, Power BI, Azure, Python, Machine Learning. 3 projects completed. Certified in Google. Domain: Data Science."
C067,Candidate_67,MCA,6,"TensorFlow, Deep Learning, Python",AWS,3,72,77,Data Science,"TensorFlow, Deep Learning, Python. 4 projects completed. Certified in Azure. Domain: Data Science."
C068,Candidate_68,M.Tech,0,"Deep Learning, AWS, PyTorch",Google,7,88,61,AI,"Deep Learning, AWS, PyTorch. 4 projects completed. Certified in AWS. Domain: AI."
C069,Candidate_69,MCA,5,"TensorFlow, Azure, PyTorch, NLP, SQL",None,7,90,74,Analytics,"TensorFlow, Azure, PyTorch, NLP, SQL. 2 projects completed. Certified in Google. Domain: Data Science."
C070,Candidate_70,B.Sc Data Science,6,"Machine Learning, PyTorch, Tableau, NLP",Azure,2,95,78,Analytics,"Machine Learning, PyTorch, Tableau, NLP. 7 projects completed. Certified in Google. Domain: Cloud."
C071,Candidate_71,B.Tech,9,"NLP, Power BI, Azure, Tableau, Deep Learning, SQL",Azure,9,81,97,AI,"NLP, Power BI, Azure, Tableau, Deep Learning, SQL. 2 projects completed. Certified in AWS. Domain: Analytics."
C072,Candidate_72,M.Tech,5,"SQL, NLP, Azure, Python",AWS,6,61,92,AI,"SQL, NLP, Azure, Python. 1 projects completed. Certified in Azure. Domain: Data Science."
C073,Candidate_73,B.Tech,1,"Azure, NLP, Power BI, Machine Learning, Python, SQL",Azure,9,68,57,Analytics,"Azure, NLP, Power BI, Machine Learning, Python, SQL. 10 projects completed. Certified in Azure. Domain: Analytics."
C074,Candidate_74,MCA,2,"SQL, PyTorch, AWS",Google,10,64,57,Analytics,"SQL, PyTorch, AWS. 9 projects completed. Certified in Google. Domain: Cloud."
C075,Candidate_75,B.Sc Data Science,4,"Deep Learning, Power BI, Machine Learning, Python, PyTorch, Azure",Azure,3,96,88,Data Science,"Deep Learning, Power BI, Machine Learning, Python, PyTorch, Azure. 3 projects completed. Certified in AWS. Domain: AI."
C076,Candidate_76,B.Tech,5,"SQL, Machine Learning, AWS, Python",Google,2,83,59,Cloud,"SQL, Machine Learning, AWS, Python. 4 projects completed. Certified in Google. Domain: Analytics."
C077,Candidate_77,B.Sc Data Science,5,"PyTorch, SQL, Tableau, Deep Learning",AWS,7,78,98,AI,"PyTorch, SQL, Tableau, Deep Learning. 2 projects completed. Certified in AWS. Domain: Cloud."
C078,Candidate_78,B.Tech,7,"Deep Learning, SQL, Power BI, AWS, PyTorch",AWS,8,88,70,Data Science,"Deep Learning, SQL, Power BI, AWS, PyTorch. 4 projects completed. Certified in AWS. Domain: Cloud."
C079,Candidate_79,MCA,3,"Machine Learning, Python, Azure, Deep Learning, PyTorch",AWS,3,75,64,Analytics,"Machine Learning, Python, Azure, Deep Learning, PyTorch. 2 projects completed. Certified in Google. Domain: Analytics."
C080,Candidate_80,B.Sc Data Science,5,"Power BI, Machine Learning, Deep Learning",AWS,10,71,87,Data Science,"Power BI, Machine Learning, Deep Learning. 8 projects completed. Certified in Google. Domain: Cloud."
C081,Candidate_81,B.Tech,9,"AWS, Deep Learning, SQL",Azure,5,64,59,AI,"AWS, Deep Learning, SQL. 5 projects completed. Certified in Azure. Domain: AI."
C082,Candidate_82,B.Tech,2,"Power BI, NLP, Deep Learning, Azure, SQL, Tableau",Azure,5,100,87,AI,"Power BI, NLP, Deep Learning, Azure, SQL, Tableau. 1 projects completed. Certified in Azure. Domain: AI."
C083,Candidate_83,MCA,6,"Deep Learning, Azure, NLP, SQL",Google,5,94,58,Cloud,"Deep Learning, Azure, NLP, SQL. 1 projects completed. Certified in Azure. Domain: Data Science."
C084,Candidate_84,B.Tech,0,"Azure, NLP, AWS",Azure,9,54,56,Cloud,"Azure, NLP, AWS. 10 projects completed. Certified in Azure. Domain: Data Science."
C085,Candidate_85,M.Tech,5,"Azure, Power BI, Deep Learning, TensorFlow",AWS,2,68,69,AI,"Azure, Power BI, Deep Learning, TensorFlow. 9 projects completed. Certified in Azure. Domain: AI."
C086,Candidate_86,MCA,0,"TensorFlow, Tableau, Python",None,9,82,87,AI,"TensorFlow, Tableau, Python. 10 projects completed. Certified in Azure. Domain: AI."
C087,Candidate_87,B.Sc Data Science,1,"Tableau, Python, PyTorch",Google,2,79,59,Cloud,"Tableau, Python, PyTorch. 7 projects completed. Certified in AWS. Domain: Data Science."
C088,Candidate_88,M.Tech,7,"NLP, SQL, Deep Learning, Machine Learning, TensorFlow",Azure,4,68,99,Analytics,"NLP, SQL, Deep Learning, Machine Learning, TensorFlow. 10 projects completed. Certified in AWS. Domain: Data Science."
C089,Candidate_89,MCA,5,"PyTorch, Tableau, SQL, Python, Machine Learning",None,10,88,66,Analytics,"PyTorch, Tableau, SQL, Python, Machine Learning. 6 projects completed. Certified in AWS. Domain: Data Science."
C090,Candidate_90,M.Tech,9,"Machine Learning, Tableau, Power BI, Deep Learning, PyTorch, SQL",Google,6,56,60,Data Science,"Machine Learning, Tableau, Power BI, Deep Learning, PyTorch, SQL. 6 projects completed. Certified in Azure. Domain: Analytics."
C091,Candidate_91,M.Tech,9,"TensorFlow, NLP, AWS, Machine Learning, Azure",None,8,68,90,Cloud,"TensorFlow, NLP, AWS, Machine Learning, Azure. 4 projects completed. Certified in Google. Domain: Analytics."
C092,Candidate_92,B.Tech,3,"NLP, PyTorch, AWS, Deep Learning, Tableau",Google,4,60,98,Data Science,"NLP, PyTorch, AWS, Deep Learning, Tableau. 3 projects completed. Certified in Azure. Domain: Analytics."
C093,Candidate_93,M.Tech,9,"Power BI, PyTorch, TensorFlow, SQL",AWS,1,88,91,AI,"Power BI, PyTorch, TensorFlow, SQL. 8 projects completed. Certified in AWS. Domain: Analytics."
C094,Candidate_94,M.Tech,2,"TensorFlow, Python, Tableau",None,3,55,58,Data Science,"TensorFlow, Python, Tableau. 4 projects completed. Certified in Google. Domain: Cloud."
C095,Candidate_95,M.Tech,8,"Python, SQL, AWS, TensorFlow, Deep Learning, Power BI",None,3,95,90,Cloud,"Python, SQL, AWS, TensorFlow, Deep Learning, Power BI. 1 projects completed. Certified in Azure. Domain: Cloud."
C096,Candidate_96,M.Tech,2,"PyTorch, Azure, AWS, Machine Learning, Tableau",Google,4,63,74,AI,"PyTorch, Azure, AWS, Machine Learning, Tableau. 2 projects completed. Certified in Google. Domain: Cloud."
C097,Candidate_97,B.Sc Data Science,9,"Deep Learning, TensorFlow, Machine Learning",AWS,9,68,92,Analytics,"Deep Learning, TensorFlow, Machine Learning. 2 projects completed. Certified in Azure. Domain: Data Science."
C098,Candidate_98,MCA,3,"PyTorch, SQL, Power BI",Azure,3,81,76,Data Science,"PyTorch, SQL, Power BI. 5 projects completed. Certified in AWS. Domain: Cloud."
C099,Candidate_99,MCA,2,"Deep Learning, TensorFlow, Machine Learning, Azure",AWS,8,86,64,AI,"Deep Learning, TensorFlow, Machine Learning, Azure. 6 projects completed. Certified in Azure. Domain: Analytics."
C100,Candidate_100,B.Tech,7,"Python, Power BI, SQL, AWS",Azure,3,98,73,Data Science,"Python, Power BI, SQL, AWS. 5 projects completed. Certified in Azure. Domain: Data Science."
C101,Candidate_101,M.Tech,2,"Tableau, Azure, Python, SQL, AWS",Google,5,96,93,Data Science,"Tableau, Azure, Python, SQL, AWS. 4 projects completed. Certified in Azure. Domain: Cloud."
C102,Candidate_102,B.Sc Data Science,3,"AWS, PyTorch, NLP",AWS,7,87,58,AI,"AWS, PyTorch, NLP. 2 projects completed. Certified in Google. Domain: Data Science."
C103,Candidate_103,M.Tech,10,"TensorFlow, Azure, Machine Learning",Google,2,69,62,Analytics,"TensorFlow, Azure, Machine Learning. 9 projects completed. Certified in AWS. Domain: Cloud."
C104,Candidate_104,M.Tech,6,"Python, TensorFlow, NLP, Tableau",Azure,2,59,97,Cloud,"Python, TensorFlow, NLP, Tableau. 1 projects completed. Certified in Azure. Domain: AI."
C105,Candidate_105,MCA,10,"SQL, Tableau, NLP, AWS, TensorFlow",Azure,5,88,75,Cloud,"SQL, Tableau, NLP, AWS, TensorFlow. 3 projects completed. Certified in Azure. Domain: Data Science."
C106,Candidate_106,M.Tech,8,"Power BI, Tableau, Python, TensorFlow, Azure, Machine Learning",AWS,6,68,61,Analytics,"Power BI, Tableau, Python, TensorFlow, Azure, Machine Learning. 7 projects completed. Certified in Azure. Domain: Analytics."
C107,Candidate_107,B.Tech,3,"NLP, Azure, Machine Learning, Python, PyTorch, Tableau",Azure,4,87,77,Cloud,"NLP, Azure, Machine Learning, Python, PyTorch, Tableau. 3 projects completed. Certified in AWS. Domain: Data Science."
C108,Candidate_108,B.Sc Data Science,9,"Deep Learning, AWS, Python, PyTorch, Power BI",None,10,73,89,AI,"Deep Learning, AWS, Python, PyTorch, Power BI. 1 projects completed. Certified in Azure. Domain: Data Science."
C109,Candidate_109,B.Sc Data Science,8,"Power BI, Tableau, Azure, AWS, TensorFlow, PyTorch",None,7,88,87,Cloud,"Power BI, Tableau, Azure, AWS, TensorFlow, PyTorch. 6 projects completed. Certified in Azure. Domain: Data Science."
C110,Candidate_110,B.Tech,7,"Azure, TensorFlow, AWS, NLP, Deep Learning",Azure,9,70,71,Data Science,"Azure, TensorFlow, AWS, NLP, Deep Learning. 3 projects completed. Certified in Google. Domain: Analytics."
C111,Candidate_111,MCA,5,"Power BI, Tableau, AWS, Deep Learning",AWS,4,66,85,AI,"Power BI, Tableau, AWS, Deep Learning. 1 projects completed. Certified in Google. Domain: Data Science."
C112,Candidate_112,MCA,2,"Tableau, Azure, Python, SQL, TensorFlow, PyTorch",Azure,8,78,68,AI,"Tableau, Azure, Python, SQL, TensorFlow, PyTorch. 6 projects completed. Certified in Azure. Domain: Cloud."
C113,Candidate_113,MCA,4,"Tableau, PyTorch, Power BI",Azure,7,62,54,Cloud,"Tableau, PyTorch, Power BI. 3 projects completed. Certified in AWS. Domain: Cloud."
C114,Candidate_114,B.Tech,0,"Deep Learning, Power BI, Azure, PyTorch",Google,3,82,89,AI,"Deep Learning, Power BI, Azure, PyTorch. 2 projects completed. Certified in AWS. Domain: Data Science."
C115,Candidate_115,B.Tech,9,"SQL, Power BI, PyTorch",Azure,1,80,93,Analytics,"SQL, Power BI, PyTorch. 7 projects completed. Certified in AWS. Domain: Cloud."
C116,Candidate_116,M.Tech,8,"Machine Learning, Power BI, Python, AWS, NLP, TensorFlow",Azure,2,77,97,Analytics,"Machine Learning, Power BI, Python, AWS, NLP, TensorFlow. 5 projects completed. Certified in Google. Domain: AI."
C117,Candidate_117,MCA,1,"Deep Learning, SQL, AWS",Azure,10,78,91,Analytics,"Deep Learning, SQL, AWS. 9 projects completed. Certified in Azure. Domain: Cloud."
C118,Candidate_118,B.Sc Data Science,7,"Power BI, Deep Learning, Tableau",Azure,5,84,86,Analytics,"Power BI, Deep Learning, Tableau. 8 projects completed. Certified in Azure. Domain: AI."
C119,Candidate_119,M.Tech,8,"Power BI, AWS, Tableau, Azure, Python",Google,8,55,75,Cloud,"Power BI, AWS, Tableau, Azure, Python. 4 projects completed. Certified in Azure. Domain: Data Science."
C120,Candidate_120,M.Tech,5,"AWS, Azure, TensorFlow, NLP",Google,10,99,74,Cloud,"AWS, Azure, TensorFlow, NLP. 7 projects completed. Certified in AWS. Domain: Cloud."
C121,Candidate_121,B.Sc Data Science,6,"Azure, TensorFlow, Tableau, SQL, Deep Learning",Google,10,87,61,AI,"Azure, TensorFlow, Tableau, SQL, Deep Learning. 4 projects completed. Certified in Azure. Domain: Data Science."
C122,Candidate_122,B.Tech,3,"Python, Machine Learning, Deep Learning, NLP",AWS,2,60,86,AI,"Python, Machine Learning, Deep Learning, NLP. 2 projects completed. Certified in Google. Domain: Data Science."
C123,Candidate_123,B.Tech,0,"Tableau, PyTorch, Power BI, Machine Learning",None,3,55,87,AI,"Tableau, PyTorch, Power BI, Machine Learning. 6 projects completed. Certified in Azure. Domain: Cloud."
C124,Candidate_124,B.Tech,1,"Azure, Tableau, TensorFlow, AWS",None,10,60,60,Data Science,"Azure, Tableau, TensorFlow, AWS. 2 projects completed. Certified in Azure. Domain: Cloud."
C125,Candidate_125,B.Sc Data Science,7,"Tableau, Azure, TensorFlow, Machine Learning",Azure,5,84,94,Cloud,"Tableau, Azure, TensorFlow, Machine Learning. 6 projects completed. Certified in Google. Domain: Cloud."
C126,Candidate_126,B.Tech,8,"Power BI, PyTorch, Azure, TensorFlow, Deep Learning, Python",AWS,2,91,51,AI,"Power BI, PyTorch, Azure, TensorFlow, Deep Learning, Python. 6 projects completed. Certified in Google. Domain: Cloud."
C127,Candidate_127,B.Sc Data Science,7,"TensorFlow, AWS, NLP",Google,7,75,99,Data Science,"TensorFlow, AWS, NLP. 4 projects completed. Certified in Azure. Domain: Analytics."
C128,Candidate_128,B.Sc Data Science,3,"TensorFlow, AWS, NLP, Power BI, SQL",Google,1,78,71,AI,"TensorFlow, AWS, NLP, Power BI, SQL. 5 projects completed. Certified in Azure. Domain: Data Science."
C129,Candidate_129,M.Tech,5,"Deep Learning, Machine Learning, Python",Google,8,63,97,AI,"Deep Learning, Machine Learning, Python. 5 projects completed. Certified in AWS. Domain: Cloud."
C130,Candidate_130,B.Tech,7,"NLP, AWS, SQL, Python",Google,1,52,93,Cloud,"NLP, AWS, SQL, Python. 4 projects completed. Certified in Azure. Domain: Data Science."
C131,Candidate_131,B.Tech,0,"NLP, Power BI, Azure",AWS,2,100,50,AI,"NLP, Power BI, Azure. 1 projects completed. Certified in Azure. Domain: Data Science."
C132,Candidate_132,B.Sc Data Science,10,"PyTorch, SQL, Tableau, AWS, TensorFlow, NLP",None,7,76,69,Analytics,"PyTorch, SQL, Tableau, AWS, TensorFlow, NLP. 3 projects completed. Certified in Google. Domain: Analytics."
C133,Candidate_133,M.Tech,1,"Deep Learning, Machine Learning, NLP, Power BI, TensorFlow",None,6,80,98,AI,"Deep Learning, Machine Learning, NLP, Power BI, TensorFlow. 2 projects completed. Certified in Google. Domain: AI."
C134,Candidate_134,MCA,9,"Azure, PyTorch, AWS, NLP, Python",None,8,53,66,Cloud,"Azure, PyTorch, AWS, NLP, Python. 5 projects completed. Certified in Google. Domain: AI."
